DateTime,Tweet Id,Tweet,Username,Location,content_indo
2022-12-16 15:32:23+00:00,1.6037750506999237e+18,"@Leeeronica wah kang emil nih sudah merapat saja, kapan merapat ke pilpres juga kang #bersamajuara #ridwankamil",S_Anjania1,,kang emil nih rapat rapat pilih presiden kang
2022-12-03 14:24:45+00:00,1.599046988028588e+18,@SimbokeSarah @Siantar72 @indarsih72 @ElinaDio @BeiKhiar @SuhartiniTaurus @ekosepu49052970 @DamkarGarut @KabGarutUtara Aminn ya rob!!! Semoga di nusibah ini gak ada lagi para pemalak2 yangmencari kesempatan dalm kesempitan ya bos @ridwankamil,Murdian09309315,,amin ya rob moga nusibah malak yangmencari sempit ya bos
2022-12-05 20:24:34+00:00,1.5998623156919706e+18,"@kurawa @ridwankamil Hrsnya Al Jabbar yang hampir 1 T itu dipecah jadi banyak buat beli lahan jadi masjid gede2 di Depok, atau ga numpang di lahannya ayah Ojak ATT ð¤£",imananda01,,al jabbar t pecah beli lahan masjid gede depok tumpang lahan ayah ojak att
2018-01-16 12:49:07+00:00,9.532477466595124e+17,"Kami yakin sdh ada calon pemimpin masa depan nkri : Anies Baswedan, Ridwan Kamil, Sudrajat, Sudirman Said dan Edy Rahmayadi",JARJUR1,,calon pimpin negara republik indonesia anies baswedan ridwan kamil sudrajat sudirman said edy rahmayadi
2020-03-30 08:11:17+00:00,1.2445376686979154e+18,@ridwankamil Dilarang mudik pak! Tapi ada kah jaminan kehidupan untuk yang ada di perantauan pak. Bukan hanya saran tapai berikn kita solusi NYATA,Awal84342285,"Sukabumi, Indonesia",larang mudik kah jamin hidup rantau saran tapai berikn solusi nyata
2022-11-15 04:37:28+00:00,1.5923762100590715e+18,"Apa yang sedang terjadi?
Pelecehan seksual terus terjadi. 
Tren ""melecehkan seksual"" juga kian marak. 

Inilah penangkalnya:

#ayobandung
#ayobogor
#ayobekasi
#ayojakarta
#ayojogja
#bandung
#ridwankamil
#bandungviral 

https://t.co/iBbKzbq3FP",etikakita,,leceh seksual tren leceh seksual kian marak tangkal
2020-10-03 13:05:57+00:00,1.312378355585491e+18,"@ridwankamil @BPBDJabar jieun liang badag rembesan cai tiap tengah jalan.  per 4 meter. kamalir cai dikeduk deui. tara siap payung pisan ! 
#pramuka bogoh ka alam jeung miasih minyaah sasama jalma",jibrilmikailsu1,,jieun liang badag rembes cai jalan meter kamalir cai keduk tara payung banget bogoh kakak alam jeung miasih minyaah jalma
2022-11-23 02:10:35+00:00,1.5952383495431987e+18,"@JRamdani26 @disinisadat @ridwankamil Seberapa banyak kecelakaan yg dialami siswa SD 1 Pocin dalam setahun? 
Coba dong didrop datanya di sini.",miayam13rb,,celaka alami siswa sekolah dasar pocin coba drop data
2022-12-04 05:29:48+00:00,1.599274750786044e+18,"Suara partai @NasDem besar bg @jansen_jsp di daerah jawa krn tertolong dukung pk @jokowi . Makanya dasar aku bilang jika dukung pak @aniesbaswedan , nyungsep suaranya
Cc @puanmaharani_ri @cakimiNOW @ZUL_Hasan @airlangga_hrt @AgusYudhoyono @ridwankamil @ganjarpranowo @Fahrihamzah https://t.co/bhMgxR9eaD",Hendrikorachman,,suara partai daerah jawa tolong dukung dasar bilang dukung nyungsep suara cc
2020-05-05 14:09:02+00:00,1.2576736634420716e+18,"@ridwankamil Yang terhormat Bapak Gurbernur Jawa Barat BPK. Ridwan Kamil
Mohon di cek ulang bantuan ke Rakyat terdampak di wilayah Depok Pak dan saya berharap yg dapat bantuan bukan hanya yg sakit copid 19 saja, yg terdampak ekonomi akibat Copid 19 sekarang banyak sekali.",ariacilpis,,hormat gurbernur jawa barat ridwan kamil mohon cek ulang bantu rakyat dampak wilayah depok harap bantu sakit copid dampak ekonomi akibat copid
