DateTime,Tweet Id,Tweet,Username,Location,content_indo
2022-05-26 13:51:22+00:00,1529822506017644544,Relawan Anies Baswedan berprinsip kehadiranya selalu membawa kebaikan bagi sesama tanpa pandang bulu. Program mobil ambulance gratis ini adalah inisiasi teman2 JARNAS Relawan Anies Baswedan di Sulawesi.Tengah. Semoga bermanfaat. yuks dukung.. https://t.co/1vs448P4tb,JarnasABW,,rawan anies baswedan prinsip kehadiranya bawa pandang bulu program mobil ambulance gratis inisiasi teman jarnas rawan anies baswedan sulawesi moga manfaat ayo dukung
2022-12-18 12:18:01+00:00,1604450911992295425,@FerdinandHutah7 @aniesbaswedan Ni orang kalau ngomong gdabrus banget yah entut birut,SyamSud95153110,,nih orang bicara gdabrus banget ya entut birut
2020-04-05 04:52:36+00:00,1246661995085975552,"@ismailfahmi @DonAdam68 @aniesbaswedan Masker masker kain ready siap kirim ke seluruh Indonesia, grosir dan eceran , wa 081222222850
Efek tidak bisa jualan di pasar malam https://t.co/Z2IchYCEn8",ace_tanjung,"Banyumas, Indonesia",masker masker kain ready kirim indonesia grosir ecer wa efek jual pasar malam
2022-12-20 13:38:54+00:00,1605196041745465345,@Annie89123084 @TeddGus @aniesbaswedan Ini orang yg sering koar koar di snack video seakan jadi jubirnya anies. Orang ini pembual yg sok pintar pd hal isi kepalanya kosong.,morafirman224,,orang koar koar makan ringan video jubir anies orang bual sok pintar isi kepala kosong
2022-12-17 05:33:44+00:00,1603986784060608512,"@BOLATIME1 @wiliokta @PartaiSocmed @aniesbaswedan yups, di kalangan islamis dulu dia dikenal tokoh JIL, dan kalau lihat keluarganya, kebijakan2nya, jaringan internasional dia, Anies on the track di jalur liberal...",myshabrina1,,iya kalang islamis kenal tokoh jil lihat keluarga bijak jaring internasional anies on the track jalur liberal
2022-12-31 05:48:32+00:00,1609063938741915654,"@Kris_Simpati Buah jatuh tidak jauh ""
Dari pohonnya !!

Ingat ya itu mendapat 
Hibah 

Jangan di samakan dgn 
Istilah nya mantan 
Gubernur itu 

Hibahnya ke no rek istri
Nya sendiri .....???
@aniesbaswedan
https://t.co/txuIDwxJz2 https://t.co/HcD9CY5IDD",MetdroS,,buah jatuh pohon ya hibah istilah nya mantan gubernur hibah no rek istri nya
2022-11-21 02:34:03+00:00,1594519480801320960,"@Tita83079013 Yang buat nih poster paling juga Tukang FITNAH, siapa lagi kalau bukan PKI dan antek2 Oligarkhinya;

Rakyat Indonesia TETAP, Anies Baswedan Presiden 2024.",MRahmatM2,"DKI Jakarta, Indonesia",nih poster tukang fitnah partai komunis indonesia antek oligarkhinya rakyat indonesia anies baswedan presiden
2020-03-18 07:44:00+00:00,1240182150525145094,"Kegiatan pengangkutan di bak tikungan jl. Soemarno kel. Pulogebang kec. Cakung tgl 18-03-2020

@aniesbaswedan @Herwansyah @yogiikhwan @dinaslhdki @setiomargono @ppdlksudinlhjaktim

#PasukanOrangeDLH 
#DinasLHDKI #JKTBebasSampah2020 #gogreenð #WeLoveJakarta #BersihBisaKok. https://t.co/cWl8pncUcp",DinsihCakung,"Jakarta Timur, DKI Jakarta",giat angkut bak tikung jalan soemarno keluarga pulogebang camat cakung tanggal
2020-05-31 13:54:04+00:00,1267091982876209154,"KONPERS2 DI PODIUM, HASILNYA ??? Seluruh toko di Pasar Asemka, Pinangsia, Jakbar tutup Minggu (31/5/2020). Namun, PKL tetap Penuhi Jalan Asemka, pukul 14.30 WIB. Para PKL menggelar daganganya.
https://t.co/Yw9yHJD0s2
@aniesbaswedan @erwinkuswandi19 @MoelyonovDjalil @f24nk1",cagubnyinyir2,"Jakarta Capital Region, Indone",konpers podium hasil toko pasar asemka pinangsia jakbar tutup minggu penuh jalan asemka indonesia barat gelar daganganya
2019-11-10 09:36:24+00:00,1193462399736532992,@aniesbaswedan Mari kita angkat Pak Ahok sebagai Pahlawan Transparasi. Lawannya Pahlawan adalah Joker. Siapakah yang jadi Joker? Ya yang nutup-nutupi anggaran dong.,JKW2SAJA,"Bali, Indonesia",mari angkat ahok pahlawan transparasi lawan pahlawan joker joker ya tutup nutupi anggar
