,DateTime,Tweet Id,Tweet,Username,Location,
30,2020-05-03 02:53:46+00:00,1.25678E+18,@daniellim_bong @ovinlofa @ridwankamil Kan sieta punya kawasan,eeng_semprani,,
31,2020-04-17 06:09:02+00:00,1.25103E+18,@dr_koko28 @jokowi Daripada k presiden mending k @ridwankamil kayaknya 🤔,pisimuv,Jayapura - Papua,
32,2020-04-17 06:09:02+00:00,1.25103E+18,@dr_koko28 @jokowi Daripada k presiden mending k @ridwankamil kayaknya 🤔,pisimuv,Jayapura - Papua,
33,2020-02-15 03:16:50+00:00,1.22852E+18,@narkosun @ridwankamil Jagonya sama anak murid...murid tdk berani melawan Krn takut nanti nilainya bjhancur dan pasti tinggal kelas....sy sudah pernah alami dipukul guru sampe hidung darah makanya tdk berani lapor....coba kalau kembali ke masa itu pasti saya baku hajar dg guru itu,Jeloveny,merauke,
34,2020-01-01 04:41:40+00:00,1.21223E+18,@_haye_ @ridwankamil kumaha ieu tah pak Gub .... semoga selamat semuanya,KalmirahJulia,"West Papua, Indonesia",
35,2019-09-25 10:11:50+00:00,1.1768E+18,@ridwankamil AMEN🙏,DianiDit,"Papua, Indonesia",
36,2019-08-21 13:11:36+00:00,1.16416E+18,@ridwankamil Salut kang 👌🙏,jaffraydouglas,,
37,2019-05-27 11:16:29+00:00,1.13297E+18,@ridwankamil Luar biasa pak...pemimpin amanah..rakyat sejahtra..negara jaya 💪,DianiDit,"Papua, Indonesia",
38,2019-05-17 07:22:03+00:00,1.12929E+18,@ridwankamil 👍👍👍👍,DianiDit,"Papua, Indonesia",
39,2018-12-21 09:46:05+00:00,1.07605E+18,"Kalo kata alm bapaknya ridwan kamil di TEDx 
Ada 4 tipe pemuda di Indonesia:
1. PINTER tapi tidak peduli
2. PEDULI tapi tidak pinter
3. tidak PINTER + tidak PEDULI
4. PINTER tapi juga PEDULI",rizqi_rkm,,
40,2018-11-25 14:35:30+00:00,1.0667E+18,@DilanQuote @ridwankamil jadi apa prok pro prok,nuuna_pio,"Papua, Indonesia",
41,2018-07-15 04:29:42+00:00,1.01835E+18,"@jpnncom @technoplast_id CRO_ JUARA DUNIA BARU 
@jpnncom 
@technoplast_id 
#PialaDunia2018JPNN 
#TechnoplastXFIFAWorldCup 

Ikutan yuk
@andresiniesta8
@ganjarpranowo 
@ridwankamil 
@basuki_btp 
@jokowi",parreto,"Papua, Indonesia",
42,2018-07-09 09:26:13+00:00,1.01625E+18,"@ridwankamil @h_elshirazy Yg penting parte kebo nyunsep.
!",nurulhudha5722,,
43,2018-05-26 17:10:11+00:00,1.00042E+18,"Support @LFC di final ucl kyiv 2018...with @radotvalent
@ridwankamil 

#YouNeverWalkAlone 
#UCLfinal 
#LFC 
#2018GantiJuaraUCL https://t.co/NqmMS4z7PP",Ancha_LFC,"Papua, Indonesia",
44,2022-11-12 08:02:49+00:00,1.59134E+18,"@AryaSom34444331 @RidNgemil @restyca_yah Bisa dilihat kapan saya take fotonya hihihi, miris sekali kang emil gubernur yg sempat saya kagumi kok sekarang malah ikutan jdi ngehoax https://t.co/j63mZiY7ZE",BetatasR,"Papua, Indonesia",
45,2022-03-10 02:51:41+00:00,1.50175E+18,"Ayolaaa kang emil kasih jawaban langsung gitu...

Jgn hanya tersirat2 https://t.co/JHIM5DK0hK",arf_prakoso,Tangerang Selatan to Jayapura,
46,2020-09-17 04:13:26+00:00,1.30645E+18,"Abis dengerin podcast om deddy, kang emil emang hebat bgt sih, penuh inspiratif, role model pemimpin jaman now....",arf_prakoso,Tangerang Selatan to Jayapura,
47,2020-09-17 04:07:57+00:00,1.30644E+18,"Astaga ternyata bintaro exc konsepnya oleh kang emil....
Ish kerenn bgt.....",arf_prakoso,Tangerang Selatan to Jayapura,
48,2020-04-24 15:28:03+00:00,1.25371E+18,Mantap kang Emil. Salah satu kepala daerah yg paling sigap merespon #Covid_19 https://t.co/JZgjg88qiZ,YantaParamean,"Papua, Indonesia",
